statement,label,extracted_statement_ids,extracted_statement_texts
(27 + 15) + (3 - 10) = 35,True,"[128000, 128011, 7, 1544, 489, 220, 868, 8, 489, 320, 18, 482, 220, 605, 8, 284, 220, 1758, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(27 + 15) + (3 - 10) = 35<｜Assistant｜><think>
"
(8 / 8) * (15 * 17) = 255,True,"[128000, 128011, 7, 23, 611, 220, 23, 8, 353, 320, 868, 353, 220, 1114, 8, 284, 220, 3192, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(8 / 8) * (15 * 17) = 255<｜Assistant｜><think>
"
(22 + 3) * (4 * 8) = 800,True,"[128000, 128011, 7, 1313, 489, 220, 18, 8, 353, 320, 19, 353, 220, 23, 8, 284, 220, 4728, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(22 + 3) * (4 * 8) = 800<｜Assistant｜><think>
"
(39 - 30) * (13 * 16) = 1872,True,"[128000, 128011, 7, 2137, 482, 220, 966, 8, 353, 320, 1032, 353, 220, 845, 8, 284, 220, 9674, 17, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 - 30) * (13 * 16) = 1872<｜Assistant｜><think>
"
(32 * 29) / (15 - 14) = 928,True,"[128000, 128011, 7, 843, 353, 220, 1682, 8, 611, 320, 868, 482, 220, 975, 8, 284, 220, 25001, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(32 * 29) / (15 - 14) = 928<｜Assistant｜><think>
"
(22 + 29) * (15 * 8) = 6120,True,"[128000, 128011, 7, 1313, 489, 220, 1682, 8, 353, 320, 868, 353, 220, 23, 8, 284, 220, 21018, 15, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(22 + 29) * (15 * 8) = 6120<｜Assistant｜><think>
"
(12 * 21) + (2 * 12) = 276,True,"[128000, 128011, 7, 717, 353, 220, 1691, 8, 489, 320, 17, 353, 220, 717, 8, 284, 220, 16660, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(12 * 21) + (2 * 12) = 276<｜Assistant｜><think>
"
(16 * 18) + (7 - 18) = 276,False,"[128000, 128011, 7, 845, 353, 220, 972, 8, 489, 320, 22, 482, 220, 972, 8, 284, 220, 16660, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 * 18) + (7 - 18) = 276<｜Assistant｜><think>
"
(13 * 13) * (13 / 1) = 2197,True,"[128000, 128011, 7, 1032, 353, 220, 1032, 8, 353, 320, 1032, 611, 220, 16, 8, 284, 220, 13762, 22, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(13 * 13) * (13 / 1) = 2197<｜Assistant｜><think>
"
(39 - 17) - (13 - 16) = 28,False,"[128000, 128011, 7, 2137, 482, 220, 1114, 8, 482, 320, 1032, 482, 220, 845, 8, 284, 220, 1591, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 - 17) - (13 - 16) = 28<｜Assistant｜><think>
"
(12 + 18) + (17 * 17) = 319,True,"[128000, 128011, 7, 717, 489, 220, 972, 8, 489, 320, 1114, 353, 220, 1114, 8, 284, 220, 16874, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(12 + 18) + (17 * 17) = 319<｜Assistant｜><think>
"
(4 - 12) * (7 * 13) = -728,True,"[128000, 128011, 7, 19, 482, 220, 717, 8, 353, 320, 22, 353, 220, 1032, 8, 284, 482, 24054, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(4 - 12) * (7 * 13) = -728<｜Assistant｜><think>
"
(15 / 5) * (12 + 20) = 97,False,"[128000, 128011, 7, 868, 611, 220, 20, 8, 353, 320, 717, 489, 220, 508, 8, 284, 220, 3534, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(15 / 5) * (12 + 20) = 97<｜Assistant｜><think>
"
(7 - 13) - (17 + 14) = -37,True,"[128000, 128011, 7, 22, 482, 220, 1032, 8, 482, 320, 1114, 489, 220, 975, 8, 284, 482, 1806, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(7 - 13) - (17 + 14) = -37<｜Assistant｜><think>
"
(31 * 18) + (5 - 6) = 557,True,"[128000, 128011, 7, 2148, 353, 220, 972, 8, 489, 320, 20, 482, 220, 21, 8, 284, 220, 23906, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(31 * 18) + (5 - 6) = 557<｜Assistant｜><think>
"
(24 + 6) / (2 - 1) = 30,True,"[128000, 128011, 7, 1187, 489, 220, 21, 8, 611, 320, 17, 482, 220, 16, 8, 284, 220, 966, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(24 + 6) / (2 - 1) = 30<｜Assistant｜><think>
"
(2 + 24) - (13 * 15) = -168,False,"[128000, 128011, 7, 17, 489, 220, 1187, 8, 482, 320, 1032, 353, 220, 868, 8, 284, 482, 8953, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(2 + 24) - (13 * 15) = -168<｜Assistant｜><think>
"
(1 - 18) + (9 * 5) = 28,True,"[128000, 128011, 7, 16, 482, 220, 972, 8, 489, 320, 24, 353, 220, 20, 8, 284, 220, 1591, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(1 - 18) + (9 * 5) = 28<｜Assistant｜><think>
"
(36 + 27) + (16 - 15) = 67,False,"[128000, 128011, 7, 1927, 489, 220, 1544, 8, 489, 320, 845, 482, 220, 868, 8, 284, 220, 3080, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(36 + 27) + (16 - 15) = 67<｜Assistant｜><think>
"
(4 - 37) * (6 - 10) = 132,True,"[128000, 128011, 7, 19, 482, 220, 1806, 8, 353, 320, 21, 482, 220, 605, 8, 284, 220, 9413, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(4 - 37) * (6 - 10) = 132<｜Assistant｜><think>
"
(22 - 34) - (15 * 12) = -190,False,"[128000, 128011, 7, 1313, 482, 220, 1958, 8, 482, 320, 868, 353, 220, 717, 8, 284, 482, 7028, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(22 - 34) - (15 * 12) = -190<｜Assistant｜><think>
"
(38 * 8) * (16 * 7) = 34046,False,"[128000, 128011, 7, 1987, 353, 220, 23, 8, 353, 320, 845, 353, 220, 22, 8, 284, 220, 13679, 2790, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(38 * 8) * (16 * 7) = 34046<｜Assistant｜><think>
"
(35 + 35) * (9 - 4) = 351,False,"[128000, 128011, 7, 1758, 489, 220, 1758, 8, 353, 320, 24, 482, 220, 19, 8, 284, 220, 18113, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(35 + 35) * (9 - 4) = 351<｜Assistant｜><think>
"
(3 - 28) + (1 + 20) = -4,True,"[128000, 128011, 7, 18, 482, 220, 1591, 8, 489, 320, 16, 489, 220, 508, 8, 284, 482, 19, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(3 - 28) + (1 + 20) = -4<｜Assistant｜><think>
"
(35 - 20) + (15 - 6) = 29,False,"[128000, 128011, 7, 1758, 482, 220, 508, 8, 489, 320, 868, 482, 220, 21, 8, 284, 220, 1682, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(35 - 20) + (15 - 6) = 29<｜Assistant｜><think>
"
(1 * 17) + (4 + 20) = 45,False,"[128000, 128011, 7, 16, 353, 220, 1114, 8, 489, 320, 19, 489, 220, 508, 8, 284, 220, 1774, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(1 * 17) + (4 + 20) = 45<｜Assistant｜><think>
"
(11 + 31) / (11 - 9) = 21,True,"[128000, 128011, 7, 806, 489, 220, 2148, 8, 611, 320, 806, 482, 220, 24, 8, 284, 220, 1691, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(11 + 31) / (11 - 9) = 21<｜Assistant｜><think>
"
(10 + 21) + (7 + 20) = 55,False,"[128000, 128011, 7, 605, 489, 220, 1691, 8, 489, 320, 22, 489, 220, 508, 8, 284, 220, 2131, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(10 + 21) + (7 + 20) = 55<｜Assistant｜><think>
"
(34 + 21) * (1 - 15) = -772,False,"[128000, 128011, 7, 1958, 489, 220, 1691, 8, 353, 320, 16, 482, 220, 868, 8, 284, 482, 23624, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(34 + 21) * (1 - 15) = -772<｜Assistant｜><think>
"
(4 - 37) * (6 - 10) = 130,False,"[128000, 128011, 7, 19, 482, 220, 1806, 8, 353, 320, 21, 482, 220, 605, 8, 284, 220, 5894, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(4 - 37) * (6 - 10) = 130<｜Assistant｜><think>
"
(28 / 14) / (2 / 2) = 0,False,"[128000, 128011, 7, 1591, 611, 220, 975, 8, 611, 320, 17, 611, 220, 17, 8, 284, 220, 15, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(28 / 14) / (2 / 2) = 0<｜Assistant｜><think>
"
(32 - 33) * (10 * 7) = -70,True,"[128000, 128011, 7, 843, 482, 220, 1644, 8, 353, 320, 605, 353, 220, 22, 8, 284, 482, 2031, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(32 - 33) * (10 * 7) = -70<｜Assistant｜><think>
"
(8 / 8) * (15 * 17) = 256,False,"[128000, 128011, 7, 23, 611, 220, 23, 8, 353, 320, 868, 353, 220, 1114, 8, 284, 220, 4146, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(8 / 8) * (15 * 17) = 256<｜Assistant｜><think>
"
(26 + 11) - (16 * 16) = -219,True,"[128000, 128011, 7, 1627, 489, 220, 806, 8, 482, 320, 845, 353, 220, 845, 8, 284, 482, 13762, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(26 + 11) - (16 * 16) = -219<｜Assistant｜><think>
"
(23 - 6) + (13 * 17) = 239,False,"[128000, 128011, 7, 1419, 482, 220, 21, 8, 489, 320, 1032, 353, 220, 1114, 8, 284, 220, 14815, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(23 - 6) + (13 * 17) = 239<｜Assistant｜><think>
"
(30 - 14) + (12 + 6) = 34,True,"[128000, 128011, 7, 966, 482, 220, 975, 8, 489, 320, 717, 489, 220, 21, 8, 284, 220, 1958, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(30 - 14) + (12 + 6) = 34<｜Assistant｜><think>
"
(17 - 14) + (13 * 2) = 28,False,"[128000, 128011, 7, 1114, 482, 220, 975, 8, 489, 320, 1032, 353, 220, 17, 8, 284, 220, 1591, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(17 - 14) + (13 * 2) = 28<｜Assistant｜><think>
"
(18 * 17) + (1 + 8) = 317,False,"[128000, 128011, 7, 972, 353, 220, 1114, 8, 489, 320, 16, 489, 220, 23, 8, 284, 220, 16718, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(18 * 17) + (1 + 8) = 317<｜Assistant｜><think>
"
(8 * 6) + (17 * 6) = 150,True,"[128000, 128011, 7, 23, 353, 220, 21, 8, 489, 320, 1114, 353, 220, 21, 8, 284, 220, 3965, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(8 * 6) + (17 * 6) = 150<｜Assistant｜><think>
"
(34 / 17) * (1 - 7) = -15,False,"[128000, 128011, 7, 1958, 611, 220, 1114, 8, 353, 320, 16, 482, 220, 22, 8, 284, 482, 868, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(34 / 17) * (1 - 7) = -15<｜Assistant｜><think>
"
(30 - 21) - (20 * 14) = -269,False,"[128000, 128011, 7, 966, 482, 220, 1691, 8, 482, 320, 508, 353, 220, 975, 8, 284, 482, 16955, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(30 - 21) - (20 * 14) = -269<｜Assistant｜><think>
"
(12 + 2) * (1 * 4) = 56,True,"[128000, 128011, 7, 717, 489, 220, 17, 8, 353, 320, 16, 353, 220, 19, 8, 284, 220, 3487, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(12 + 2) * (1 * 4) = 56<｜Assistant｜><think>
"
(39 + 1) - (14 + 17) = 4,False,"[128000, 128011, 7, 2137, 489, 220, 16, 8, 482, 320, 975, 489, 220, 1114, 8, 284, 220, 19, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 + 1) - (14 + 17) = 4<｜Assistant｜><think>
"
(30 * 15) - (7 - 11) = 454,True,"[128000, 128011, 7, 966, 353, 220, 868, 8, 482, 320, 22, 482, 220, 806, 8, 284, 220, 20555, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(30 * 15) - (7 - 11) = 454<｜Assistant｜><think>
"
(32 + 14) * (6 - 12) = -275,False,"[128000, 128011, 7, 843, 489, 220, 975, 8, 353, 320, 21, 482, 220, 717, 8, 284, 482, 14417, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(32 + 14) * (6 - 12) = -275<｜Assistant｜><think>
"
(19 - 37) + (7 + 4) = -6,False,"[128000, 128011, 7, 777, 482, 220, 1806, 8, 489, 320, 22, 489, 220, 19, 8, 284, 482, 21, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(19 - 37) + (7 + 4) = -6<｜Assistant｜><think>
"
(9 - 38) - (2 - 15) = -18,False,"[128000, 128011, 7, 24, 482, 220, 1987, 8, 482, 320, 17, 482, 220, 868, 8, 284, 482, 972, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(9 - 38) - (2 - 15) = -18<｜Assistant｜><think>
"
(36 * 35) + (14 + 11) = 1285,True,"[128000, 128011, 7, 1927, 353, 220, 1758, 8, 489, 320, 975, 489, 220, 806, 8, 284, 220, 4386, 20, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(36 * 35) + (14 + 11) = 1285<｜Assistant｜><think>
"
(30 + 40) - (17 + 14) = 39,True,"[128000, 128011, 7, 966, 489, 220, 1272, 8, 482, 320, 1114, 489, 220, 975, 8, 284, 220, 2137, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(30 + 40) - (17 + 14) = 39<｜Assistant｜><think>
"
(39 - 16) * (7 + 10) = 391,True,"[128000, 128011, 7, 2137, 482, 220, 845, 8, 353, 320, 22, 489, 220, 605, 8, 284, 220, 19631, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 - 16) * (7 + 10) = 391<｜Assistant｜><think>
"
(16 * 14) - (13 - 14) = 225,True,"[128000, 128011, 7, 845, 353, 220, 975, 8, 482, 320, 1032, 482, 220, 975, 8, 284, 220, 11057, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 * 14) - (13 - 14) = 225<｜Assistant｜><think>
"
(8 - 12) + (3 + 20) = 16,False,"[128000, 128011, 7, 23, 482, 220, 717, 8, 489, 320, 18, 489, 220, 508, 8, 284, 220, 845, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(8 - 12) + (3 + 20) = 16<｜Assistant｜><think>
"
(17 * 21) - (14 - 11) = 351,False,"[128000, 128011, 7, 1114, 353, 220, 1691, 8, 482, 320, 975, 482, 220, 806, 8, 284, 220, 18113, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(17 * 21) - (14 - 11) = 351<｜Assistant｜><think>
"
(38 * 16) * (13 + 2) = 9122,False,"[128000, 128011, 7, 1987, 353, 220, 845, 8, 353, 320, 1032, 489, 220, 17, 8, 284, 220, 22750, 17, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(38 * 16) * (13 + 2) = 9122<｜Assistant｜><think>
"
(33 + 19) - (14 * 19) = -213,False,"[128000, 128011, 7, 1644, 489, 220, 777, 8, 482, 320, 975, 353, 220, 777, 8, 284, 482, 11702, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(33 + 19) - (14 * 19) = -213<｜Assistant｜><think>
"
(30 + 22) - (5 * 12) = -3,False,"[128000, 128011, 7, 966, 489, 220, 1313, 8, 482, 320, 20, 353, 220, 717, 8, 284, 482, 18, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(30 + 22) - (5 * 12) = -3<｜Assistant｜><think>
"
(29 + 27) + (15 * 1) = 71,True,"[128000, 128011, 7, 1682, 489, 220, 1544, 8, 489, 320, 868, 353, 220, 16, 8, 284, 220, 6028, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(29 + 27) + (15 * 1) = 71<｜Assistant｜><think>
"
(39 * 40) / (6 + 18) = 69,False,"[128000, 128011, 7, 2137, 353, 220, 1272, 8, 611, 320, 21, 489, 220, 972, 8, 284, 220, 3076, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 * 40) / (6 + 18) = 69<｜Assistant｜><think>
"
(19 - 2) + (15 / 15) = 18,True,"[128000, 128011, 7, 777, 482, 220, 17, 8, 489, 320, 868, 611, 220, 868, 8, 284, 220, 972, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(19 - 2) + (15 / 15) = 18<｜Assistant｜><think>
"
(32 + 36) + (3 * 4) = 80,True,"[128000, 128011, 7, 843, 489, 220, 1927, 8, 489, 320, 18, 353, 220, 19, 8, 284, 220, 1490, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(32 + 36) + (3 * 4) = 80<｜Assistant｜><think>
"
(35 / 7) - (12 - 6) = 0,False,"[128000, 128011, 7, 1758, 611, 220, 22, 8, 482, 320, 717, 482, 220, 21, 8, 284, 220, 15, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(35 / 7) - (12 - 6) = 0<｜Assistant｜><think>
"
(20 + 24) - (19 * 6) = -70,True,"[128000, 128011, 7, 508, 489, 220, 1187, 8, 482, 320, 777, 353, 220, 21, 8, 284, 482, 2031, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(20 + 24) - (19 * 6) = -70<｜Assistant｜><think>
"
(5 + 39) * (13 - 8) = 220,True,"[128000, 128011, 7, 20, 489, 220, 2137, 8, 353, 320, 1032, 482, 220, 23, 8, 284, 220, 8610, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(5 + 39) * (13 - 8) = 220<｜Assistant｜><think>
"
(32 + 29) * (12 + 3) = 918,False,"[128000, 128011, 7, 843, 489, 220, 1682, 8, 353, 320, 717, 489, 220, 18, 8, 284, 220, 25828, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(32 + 29) * (12 + 3) = 918<｜Assistant｜><think>
"
(16 + 38) * (20 / 10) = 106,False,"[128000, 128011, 7, 845, 489, 220, 1987, 8, 353, 320, 508, 611, 220, 605, 8, 284, 220, 7461, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 + 38) * (20 / 10) = 106<｜Assistant｜><think>
"
(26 * 36) + (14 - 10) = 940,True,"[128000, 128011, 7, 1627, 353, 220, 1927, 8, 489, 320, 975, 482, 220, 605, 8, 284, 220, 21251, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(26 * 36) + (14 - 10) = 940<｜Assistant｜><think>
"
(38 * 22) * (1 + 1) = 1672,True,"[128000, 128011, 7, 1987, 353, 220, 1313, 8, 353, 320, 16, 489, 220, 16, 8, 284, 220, 11515, 17, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(38 * 22) * (1 + 1) = 1672<｜Assistant｜><think>
"
(16 * 17) * (20 + 4) = 6528,True,"[128000, 128011, 7, 845, 353, 220, 1114, 8, 353, 320, 508, 489, 220, 19, 8, 284, 220, 23181, 23, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 * 17) * (20 + 4) = 6528<｜Assistant｜><think>
"
(15 / 1) * (17 + 20) = 550,False,"[128000, 128011, 7, 868, 611, 220, 16, 8, 353, 320, 1114, 489, 220, 508, 8, 284, 220, 13506, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(15 / 1) * (17 + 20) = 550<｜Assistant｜><think>
"
(38 * 21) - (7 - 10) = 801,True,"[128000, 128011, 7, 1987, 353, 220, 1691, 8, 482, 320, 22, 482, 220, 605, 8, 284, 220, 17973, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(38 * 21) - (7 - 10) = 801<｜Assistant｜><think>
"
(33 + 30) - (18 - 3) = 48,True,"[128000, 128011, 7, 1644, 489, 220, 966, 8, 482, 320, 972, 482, 220, 18, 8, 284, 220, 2166, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(33 + 30) - (18 - 3) = 48<｜Assistant｜><think>
"
(5 - 20) + (9 - 8) = -14,True,"[128000, 128011, 7, 20, 482, 220, 508, 8, 489, 320, 24, 482, 220, 23, 8, 284, 482, 975, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(5 - 20) + (9 - 8) = -14<｜Assistant｜><think>
"
(37 * 27) - (15 + 9) = 975,True,"[128000, 128011, 7, 1806, 353, 220, 1544, 8, 482, 320, 868, 489, 220, 24, 8, 284, 220, 24609, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(37 * 27) - (15 + 9) = 975<｜Assistant｜><think>
"
(21 * 33) / (11 - 14) = -231,True,"[128000, 128011, 7, 1691, 353, 220, 1644, 8, 611, 320, 806, 482, 220, 975, 8, 284, 482, 12245, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(21 * 33) / (11 - 14) = -231<｜Assistant｜><think>
"
(25 + 30) - (3 + 1) = 51,True,"[128000, 128011, 7, 914, 489, 220, 966, 8, 482, 320, 18, 489, 220, 16, 8, 284, 220, 3971, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(25 + 30) - (3 + 1) = 51<｜Assistant｜><think>
"
