statement,label,stmt1_id,stmt2_id
It is the case both that The city of Shymkent is in India. and that The city of Tehran is in Russia..,0,134,197
It is the case both that The city of Abu Ghurayb is in Iraq. and that The city of Shangrao is in China..,1,94,706
It is the case both that The city of Maturin is in Brazil. and that The city of Virar is in India..,0,316,395
It is the case both that The city of Tokyo is in Japan. and that The city of Changwon is in China..,0,1129,204
It is the case both that The city of Dortmund is in Germany. and that The city of Bangkok is in Thailand..,1,760,694
It is the case both that The city of Chuzhou is in China. and that The city of Nansana is in Uganda..,1,307,387
It is the case both that The city of Chattogram is in Bangladesh. and that The city of Torreon is in Mexico..,1,936,1056
It is the case both that The city of Palembang is in Indonesia. and that The city of Zhongwei is in China..,1,163,276
It is the case both that The city of Winnipeg is in Canada. and that The city of Naberezhnyye Chelny is in Russia..,1,1187,397
It is the case both that The city of Rahim Yar Khan is in Pakistan. and that The city of Orumiyeh is in Iran..,1,585,319
It is the case both that The city of Lueliang is in India. and that The city of Daegu is in Mexico..,0,526,951
It is the case both that The city of Soacha is in Colombia. and that The city of Ansan-si is in South Korea..,1,360,445
It is the case both that The city of Basrah is in Iraq. and that The city of Jos is in Nigeria..,1,700,477
It is the case both that The city of Salta is in Argentina. and that The city of Aktobe is in Kazakhstan..,1,934,1051
It is the case both that The city of Muntinlupa is in the Philippines. and that The city of Shangluo is in Saudi Arabia..,0,1109,139
It is the case both that The city of Cabinda is in Angola. and that The city of Jieyang is in China..,1,56,236
It is the case both that The city of Zhabei is in China. and that The city of Zhangjiakou is in China..,1,338,792
It is the case both that The city of Bannu is in Pakistan. and that The city of Harare is in India..,0,154,1156
It is the case both that The city of Caracas is in India. and that The city of Qionghai is in China..,0,239,847
It is the case both that The city of Hlaingthaya is in Myanmar. and that The city of Ankara is in Turkey..,1,61,344
It is the case both that The city of Camama is in Angola. and that The city of Hebi is in China..,1,400,499
It is the case both that The city of Vijayawada is in India. and that The city of Weinan is in China..,1,1001,42
It is the case both that The city of Douala is in China. and that The city of Xinyang is in China..,0,1148,869
It is the case both that The city of Bujumbura is in China. and that The city of Vadodara is in India..,0,1038,821
It is the case both that The city of Xinyu is in India. and that The city of Baise is in Angola..,0,236,85
It is the case both that The city of Rostov-on-Don is in Russia. and that The city of Bukit Rahman Putra is in India..,0,143,169
It is the case both that The city of Hohhot is in China. and that The city of Quetta is in India..,0,770,1013
It is the case both that The city of Himeji is in Japan. and that The city of Wenzhou is in Colombia..,0,59,344
It is the case both that The city of Nouakchott is in Mauritania. and that The city of Puducherry is in India..,1,185,240
It is the case both that The city of Ryazan' is in Russia. and that The city of Shizuishan is in China..,1,123,228
It is the case both that The city of Nasiriyah is in Iraq. and that The city of Voronezh is in Russia..,1,107,18
It is the case both that The city of Seoul is in Mozambique. and that The city of Baghdad is in China..,0,896,798
It is the case both that The city of Islamabad is in Pakistan. and that The city of Xiaogan is in China..,1,158,267
It is the case both that The city of Jakarta is in Indonesia. and that The city of Lviv is in Ukraine..,1,552,912
It is the case both that The city of Vadodara is in India. and that The city of Al Hudaydah is in Yemen..,1,821,655
It is the case both that The city of Madurai is in India. and that The city of Sialkot is in Pakistan..,1,962,491
It is the case both that The city of Qingdao is in China. and that The city of Qinzhou is in China..,1,155,517
It is the case both that The city of Foshan is in China. and that The city of Ghaziabad is in India..,1,66,994
It is the case both that The city of Mengzi is in Venezuela. and that The city of Sao Bernardo do Campo is in Brazil..,0,187,149
It is the case both that The city of Samarinda is in Indonesia. and that The city of Gqeberha is in South Africa..,1,1125,72
It is the case both that The city of Albuquerque is in Nepal. and that The city of Lyon is in France..,0,617,336
It is the case both that The city of Handan is in China. and that The city of Zaria is in Pakistan..,0,462,373
It is the case both that The city of Vinh is in Vietnam. and that The city of Nanded is in India..,1,629,242
It is the case both that The city of Enugu is in China. and that The city of Najran is in Saudi Arabia..,0,1100,156
It is the case both that The city of Soacha is in Colombia. and that The city of Qiqihar is in China..,1,360,776
It is the case both that The city of Luzhou is in Brazil. and that The city of Sanaa is in Russia..,0,59,355
It is the case both that The city of Hongkou is in China. and that The city of Soacha is in Colombia..,1,621,360
It is the case both that The city of Benoni is in South Africa. and that The city of Hoji ya Henda is in Angola..,1,421,296
It is the case both that The city of Indore is in India. and that The city of Budta is in the Philippines..,1,678,463
It is the case both that The city of Dehradun is in India. and that The city of Maputo is in China..,0,49,1191
It is the case both that The city of Giza is in Egypt. and that The city of Izhevsk is in Russia..,1,895,1178
It is the case both that The city of Bagcilar is in the United States. and that The city of Rahim Yar Khan is in Pakistan..,0,325,585
It is the case both that The city of Johannesburg is in Japan. and that The city of Oujda is in Japan..,0,604,305
It is the case both that The city of Beirut is in Lebanon. and that The city of Kampala is in Uganda..,1,304,892
It is the case both that The city of Carrefour is in China. and that The city of Kumamoto is in Japan..,0,86,234
It is the case both that The city of Daxing'anling is in China. and that The city of Puente Alto is in Chile..,1,599,406
It is the case both that The city of Ibague is in Colombia. and that The city of Ulan Bator is in China..,0,540,241
It is the case both that The city of Asansol is in India. and that The city of Joao Pessoa is in Brazil..,1,382,32
It is the case both that The city of Niluefer is in Turkey. and that The city of Novokuznetsk is in Russia..,1,300,295
It is the case both that The city of Kallakurichi is in Germany. and that The city of Caloocan is in the Philippines..,0,598,512
It is the case both that The city of The Bronx is in the United States. and that The city of Tianshui is in China..,1,259,33
It is the case both that The city of Pune is in the United States. and that The city of Tasikmalaya is in Indonesia..,0,1007,834
It is the case both that The city of Shenyang is in China. and that The city of Kampala is in Uganda..,1,161,892
It is the case both that The city of Lviv is in Ukraine. and that The city of Krakow is in Poland..,1,912,455
It is the case both that The city of Hamamatsu is in Russia. and that The city of Sorocaba is in Iraq..,0,595,620
It is the case both that The city of Qingdao is in China. and that The city of Porto Alegre is in Brazil..,1,155,278
It is the case both that The city of Maiduguri is in China. and that The city of Shaoxing is in South Korea..,0,473,899
It is the case both that The city of Borama is in Somalia. and that The city of Arifwala is in Pakistan..,1,377,511
It is the case both that The city of Dharavi is in India. and that The city of Callao is in Peru..,1,696,507
It is the case both that The city of Minhang is in China. and that The city of Kota Kuala Muda is in Malaysia..,1,1040,92
It is the case both that The city of Vladivostok is in Russia. and that The city of Laiwu is in China..,1,470,1098
It is the case both that The city of Budapest is in Hungary. and that The city of Mukim Pulai is in Malaysia..,1,1073,504
It is the case both that The city of Juiz de Fora is in China. and that The city of Nellore is in Egypt..,0,424,395
It is the case both that The city of Milwaukee is in the United States. and that The city of Ciudad Juarez is in Mexico..,1,789,350
It is the case both that The city of Deyang is in China. and that The city of Ansan-si is in South Korea..,1,409,445
It is the case both that The city of Anshun is in China. and that The city of Meerut is in India..,1,253,91
It is the case both that The city of Wroclaw is in Poland. and that The city of Dera Ismail Khan is in Pakistan..,1,880,178
It is the case both that The city of Hengyang is in the Philippines. and that The city of Soshanguve is in India..,0,680,565
It is the case both that The city of Istanbul is in Turkey. and that The city of Amravati is in India..,1,35,838
It is the case both that The city of Yunfu is in Indonesia. and that The city of Tangier is in Morocco..,0,417,439
It is the case both that The city of Shaoguan is in Angola. and that The city of Ananindeua is in Iran..,0,295,285
It is the case both that The city of Callao is in Peru. and that The city of Riga is in Latvia..,1,507,65
It is the case both that The city of Managua is in China. and that The city of Ryazan' is in Russia..,0,930,123
It is the case both that The city of Muntinlupa is in the Philippines. and that The city of Osaka is in Indonesia..,0,1109,447
It is the case both that The city of Maceio is in Brazil. and that The city of Baku is in China..,0,1165,849
It is the case both that The city of Sangli is in China. and that The city of Bandar Lampung is in Vietnam..,0,51,238
It is the case both that The city of Taguig is in the Philippines. and that The city of Jiangyin is in China..,1,53,935
It is the case both that The city of Qingpu is in China. and that The city of Aracaju is in the United States..,0,984,830
It is the case both that The city of Marseille is in China. and that The city of Sanming is in China..,0,169,828
It is the case both that The city of Aktobe is in Kazakhstan. and that The city of Hannover is in Afghanistan..,0,1051,969
It is the case both that The city of Douala is in Cameroon. and that The city of Ordos is in China..,1,511,725
It is the case both that The city of Mumbai is in Vietnam. and that The city of Tiruchirappalli is in China..,0,67,149
It is the case both that The city of Omdurman is in Sudan. and that The city of Xiaogan is in Bangladesh..,0,1168,336
It is the case both that The city of Rajkot is in India. and that The city of Hamamatsu is in Russia..,0,990,595
It is the case both that The city of Al Basrah al Qadimah is in Iraq. and that The city of Teresina is in South Korea..,0,374,76
It is the case both that The city of Shizuoka is in Japan. and that The city of Hefei is in China..,1,430,851
It is the case both that The city of Daegu is in Mexico. and that The city of UEskuedar is in China..,0,951,198
It is the case both that The city of Jiangyin is in India. and that The city of Qinhuangdao is in India..,0,465,756
It is the case both that The city of Ribeirao Preto is in Brazil. and that The city of Mukalla is in Yemen..,1,431,1159
It is the case both that The city of Tokyo is in China. and that The city of Ziyang is in China..,0,406,140
It is the case both that The city of Jiamusi is in China. and that The city of Xuancheng is in China..,1,1015,325
It is the case both that The city of Chiclayo is in Pakistan. and that The city of Kobe is in Japan..,0,641,458
It is the case both that The city of Conakry is in Guinea. and that The city of Malacca is in China..,0,2,995
It is the case both that The city of Ya'an is in China. and that The city of Agege is in Nigeria..,1,23,310
It is the case both that The city of Shangyu is in China. and that The city of Oslo is in Norway..,1,524,113
It is the case both that The city of Gaziantep is in Turkey. and that The city of Sorocaba is in Brazil..,1,684,1077
It is the case both that The city of Minhang is in China. and that The city of Ipoh is in Malaysia..,1,1040,8
It is the case both that The city of Gwalior is in China. and that The city of Sargodha is in Bangladesh..,0,891,378
It is the case both that The city of Nellore is in India. and that The city of Oujda is in Japan..,0,165,305
It is the case both that The city of Zhangzhou is in Malaysia. and that The city of Putian is in China..,0,21,505
It is the case both that The city of Qinzhou is in China. and that The city of Kyoto is in Japan..,1,517,268
It is the case both that The city of Naucalpan de Juarez is in Mexico. and that The city of Bukit Rahman Putra is in Malaysia..,1,271,1151
It is the case both that The city of Pudong is in China. and that The city of Erode is in India..,1,214,58
It is the case both that The city of Ganzhou is in China. and that The city of Guatemala City is in Guatemala..,1,498,771
It is the case both that The city of Wanxian is in Syria. and that The city of Detroit is in the United States..,0,460,519
It is the case both that The city of Vinh is in Vietnam. and that The city of Benoni is in India..,0,629,77
It is the case both that The city of Coyoacan is in Mexico. and that The city of Luohu District is in Turkey..,0,9,459
It is the case both that The city of Kirkuk is in Iraq. and that The city of Bangkok is in Thailand..,1,863,694
It is the case both that The city of Bhubaneswar is in India. and that The city of Sokoto is in Syria..,0,378,256
It is the case both that The city of Cuautitlan Izcalli is in Turkey. and that The city of Istanbul is in China..,0,1049,747
It is the case both that The city of Baghdad is in Iraq. and that The city of Andijon is in Uzbekistan..,1,502,207
It is the case both that The city of Jingmen is in China. and that The city of Okara is in Pakistan..,1,43,966
It is the case both that The city of Dandong is in Indonesia. and that The city of Mandalay is in Myanmar..,0,290,483
It is the case both that The city of Kakamega is in Kenya. and that The city of Gaziantep is in Turkey..,1,130,684
It is the case both that The city of Niluefer is in Mexico. and that The city of Jos is in Nigeria..,0,854,477
It is the case both that The city of Cotonou is in Benin. and that The city of Mosul is in Iraq..,1,717,376
It is the case both that The city of Arusha is in Tanzania. and that The city of Al Ahmadi is in Kuwait..,1,264,782
It is the case both that The city of Zhangjiagang is in China. and that The city of Tiruchirappalli is in China..,0,407,149
It is the case both that The city of Makassar is in Indonesia. and that The city of Yaroslavl is in Russia..,1,162,373
It is the case both that The city of Ecatepec de Morelos is in Mexico. and that The city of Amman is in Jordan..,1,907,819
It is the case both that The city of Pingliang is in China. and that The city of Anshan is in China..,1,290,269
It is the case both that The city of Anshan is in Pakistan. and that The city of Queens is in the United States..,0,570,287
It is the case both that The city of Osogbo is in Nigeria. and that The city of Pallabi is in Bangladesh..,1,600,1020
It is the case both that The city of Cheonan is in South Korea. and that The city of Quetta is in Pakistan..,1,490,41
It is the case both that The city of Zhangjiagang is in China. and that The city of Surat is in Angola..,0,407,807
It is the case both that The city of Multan is in Pakistan. and that The city of Lilongwe is in Malawi..,1,669,80
It is the case both that The city of Ziyang is in China. and that The city of Cho Lon is in Vietnam..,1,140,401
It is the case both that The city of Dar es Salaam is in Tanzania. and that The city of Petaling Jaya is in China..,0,666,894
It is the case both that The city of Qom is in Iran. and that The city of Heze is in China..,1,105,74
It is the case both that The city of Makhachkala is in China. and that The city of Chunian is in Pakistan..,0,541,200
It is the case both that The city of Feira de Santana is in Brazil. and that The city of Kanayannur is in India..,1,1041,477
It is the case both that The city of Kyiv is in Ukraine. and that The city of Shizuishan is in China..,1,476,228
It is the case both that The city of Abu Dhabi is in the Dominican Republic. and that The city of Ibadan is in Nigeria..,0,920,365
It is the case both that The city of Thembisa is in South Africa. and that The city of Ujjain is in India..,1,201,21
It is the case both that The city of Dandong is in Indonesia. and that The city of Pasig City is in the Philippines..,0,290,578
It is the case both that The city of Nuremberg is in Germany. and that The city of Qiqihar is in China..,1,170,776
It is the case both that The city of Culiacan is in Mexico. and that The city of Okara is in Pakistan..,1,624,966
It is the case both that The city of Ulan Bator is in Mongolia. and that The city of Cuttack is in Jordan..,0,419,417
It is the case both that The city of Kanayannur is in Mexico. and that The city of Balikpapan is in Indonesia..,0,153,1048
It is the case both that The city of Kota Kinabalu is in Malaysia. and that The city of Anshan is in China..,1,44,269
It is the case both that The city of Adachi is in Japan. and that The city of Amravati is in India..,1,582,838
It is the case both that The city of Erzurum is in Turkey. and that The city of Huaibei is in China..,1,232,720
It is the case both that The city of Sofia is in Bulgaria. and that The city of Adachi is in Jamaica..,0,224,144
It is the case both that The city of Heze is in China. and that The city of Niigata is in China..,0,74,508
It is the case both that The city of Suez is in China. and that The city of Nanded is in India..,0,549,242
It is the case both that The city of Benguela is in Angola. and that The city of Ouagadougou is in Burkina Faso..,1,649,1082
It is the case both that The city of Kasur is in Yemen. and that The city of Hiroshima is in Poland..,0,383,136
It is the case both that The city of Lueliang is in China. and that The city of Panshan is in China..,1,206,1135
It is the case both that The city of Borivli is in India. and that The city of Rajshahi is in Bangladesh..,1,659,832
It is the case both that The city of Gazipur is in Bangladesh. and that The city of Fortaleza is in Brazil..,1,5,26
It is the case both that The city of Helsinki is in Finland. and that The city of Thiruvananthapuram is in India..,1,115,927
It is the case both that The city of Pretoria is in South Africa. and that The city of Suwon is in South Korea..,1,60,663
It is the case both that The city of Esenler is in Turkey. and that The city of Katsina is in Nigeria..,1,120,262
It is the case both that The city of Puning is in China. and that The city of Kalyan is in India..,1,31,1054
It is the case both that The city of Malatya is in Turkey. and that The city of Adachi is in Japan..,1,740,582
It is the case both that The city of Dandong is in Indonesia. and that The city of Naberezhnyye Chelny is in China..,0,290,234
It is the case both that The city of Sarajevo is in Bosnia and Herzegovina. and that The city of Palembang is in Indonesia..,1,1053,163
It is the case both that The city of Cotonou is in Benin. and that The city of Zagreb is in India..,0,717,897
It is the case both that The city of Kalyan is in India. and that The city of Kolwezi is in Mozambique..,0,1054,1055
It is the case both that The city of Pontianak is in Indonesia. and that The city of Salta is in Argentina..,1,468,934
It is the case both that The city of Cancun is in Vietnam. and that The city of Ulyanovsk is in Russia..,0,1107,654
It is the case both that The city of Suizhou is in Kyrgyzstan. and that The city of Salta is in Argentina..,0,479,934
It is the case both that The city of Abu Ghurayb is in Iraq. and that The city of Maceio is in China..,0,94,22
It is the case both that The city of Langfang is in China. and that The city of Algiers is in Algeria..,1,1136,286
It is the case both that The city of Uberlandia is in Uzbekistan. and that The city of Lyon is in France..,0,1172,336
It is the case both that The city of Al Ahmadi is in Kuwait. and that The city of Santo Domingo Este is in the Dominican Republic..,1,782,394
It is the case both that The city of Nagoya is in Japan. and that The city of Sukkur is in Pakistan..,1,54,753
It is the case both that The city of Sangli is in India. and that The city of Barranquilla is in Mexico..,0,323,933
It is the case both that The city of Setagaya is in Hungary. and that The city of Dortmund is in China..,0,1064,142
It is the case both that The city of Erzurum is in Turkey. and that The city of Puning is in China..,1,232,31
It is the case both that The city of Nanded is in the Democratic Republic of the Congo. and that The city of Thuan An is in China..,0,451,427
It is the case both that The city of Sapporo is in Japan. and that The city of Can Tho is in China..,0,961,496
It is the case both that The city of Xining is in China. and that The city of Antalya is in Kazakhstan..,0,0,152
It is the case both that The city of Hiroshima is in Poland. and that The city of Xuhui is in India..,0,136,436
It is the case both that The city of Nizhniy Novgorod is in Russia. and that The city of Bien Hoa is in China..,0,12,82
It is the case both that The city of Chenzhou is in Ukraine. and that The city of Wuzhou is in China..,0,25,79
It is the case both that The city of Paranaque City is in the Philippines. and that The city of General Santos is in the Philippines..,1,737,275
It is the case both that The city of Guarulhos is in Brazil. and that The city of Toulouse is in France..,1,630,370
It is the case both that The city of Cebu City is in the Philippines. and that The city of Thane is in India..,1,313,859
It is the case both that The city of Antalya is in Kazakhstan. and that The city of Maputo is in China..,0,152,1191
It is the case both that The city of Changwon is in China. and that The city of Sorocaba is in Iraq..,0,204,620
It is the case both that The city of Stockholm is in Sweden. and that The city of Tyumen is in Turkey..,0,492,293
It is the case both that The city of Homs is in Syria. and that The city of Recife is in Brazil..,1,522,520
It is the case both that The city of Qujing is in Turkey. and that The city of Puente Alto is in Chile..,0,358,406
It is the case both that The city of Arusha is in Tanzania. and that The city of San Miguel de Tucuman is in China..,0,264,544
It is the case both that The city of Balbala is in Djibouti. and that The city of Xinyu is in China..,1,1147,38
It is the case both that The city of Haiphong is in China. and that The city of Teni is in India..,0,651,1131
It is the case both that The city of Guatemala City is in Guatemala. and that The city of Vientiane is in Laos..,1,771,132
It is the case both that The city of Porto Alegre is in China. and that The city of Cho Lon is in the Dominican Republic..,0,323,355
It is the case both that The city of Qiqihar is in China. and that The city of Deyang is in China..,1,776,409
It is the case both that The city of Qom is in China. and that The city of Ranchi is in India..,0,167,230
It is the case both that The city of Baghdad is in China. and that The city of Johannesburg is in South Africa..,0,798,674
It is the case both that The city of Ahvaz is in China. and that The city of Soacha is in Colombia..,0,333,360
It is the case both that The city of Aguascalientes is in Mexico. and that The city of Ipoh is in Ghana..,0,456,702
It is the case both that The city of Vientiane is in Laos. and that The city of Rui'an is in China..,1,132,515
It is the case both that The city of Bandar Lampung is in Indonesia. and that The city of Bhiwandi is in India..,1,601,317
It is the case both that The city of Xingtai is in Kazakhstan. and that The city of Goyang-si is in Brazil..,0,319,478
It is the case both that The city of Kirkuk is in Iraq. and that The city of Aleppo is in Syria..,1,863,467
It is the case both that The city of Jalandhar is in India. and that The city of Busan is in South Korea..,1,939,460
It is the case both that The city of Santo Domingo Este is in the Philippines. and that The city of Yangon is in Myanmar..,0,283,116
It is the case both that The city of Seongnam-si is in South Korea. and that The city of Zunyi is in China..,1,356,1152
It is the case both that The city of Bandar Lampung is in Indonesia. and that The city of Zagreb is in India..,0,601,897
It is the case both that The city of Puducherry is in China. and that The city of Samarkand is in Burundi..,0,353,321
It is the case both that The city of Wenzhou is in China. and that The city of Huizhou is in China..,1,396,464
It is the case both that The city of Gwalior is in India. and that The city of Reynosa is in Mexico..,1,723,311
It is the case both that The city of Zaozhuang is in China. and that The city of Madinah is in Saudi Arabia..,1,414,215
It is the case both that The city of Baise is in China. and that The city of Dammam is in Saudi Arabia..,1,1027,112
It is the case both that The city of Teresina is in Brazil. and that The city of Denpasar is in Indonesia..,1,195,174
It is the case both that The city of Kalininskiy is in Germany. and that The city of Ndola is in Poland..,0,1059,425
It is the case both that The city of Bagcilar is in Turkey. and that The city of Zhabei is in China..,1,399,338
It is the case both that The city of Rajshahi is in Bangladesh. and that The city of Mohammadpur is in Turkey..,0,832,563
It is the case both that The city of Asmara is in South Korea. and that The city of Cuautitlan Izcalli is in Mexico..,0,929,1095
It is the case both that The city of Warangal is in Myanmar. and that The city of Nagoya is in India..,0,296,469
It is the case both that The city of Namangan is in Uzbekistan. and that The city of Kharkiv is in Ukraine..,1,210,28
It is the case both that The city of Ganzhou is in China. and that The city of Manaus is in Brazil..,1,498,456
It is the case both that The city of Jakarta is in Mongolia. and that The city of Quito is in Ecuador..,0,1110,591
It is the case both that The city of Anyang-si is in Poland. and that The city of Haiphong is in Vietnam..,0,870,1065
It is the case both that The city of Katsina is in South Korea. and that The city of Kanayannur is in Mexico..,0,1086,153
It is the case both that The city of Kanpur is in India. and that The city of Kumasi is in Russia..,0,913,231
It is the case both that The city of Aihara is in Japan. and that The city of Santo Domingo Este is in the Dominican Republic..,1,150,394
It is the case both that The city of Chennai is in India. and that The city of Madinah is in Saudi Arabia..,1,74,215
It is the case both that The city of Chelyabinsk is in Russia. and that The city of Khartoum North is in Sudan..,1,175,259
It is the case both that The city of Toulouse is in Kenya. and that The city of Abu Dhabi is in the Dominican Republic..,0,840,920
It is the case both that The city of Benoni is in South Africa. and that The city of Xiaogan is in China..,1,421,267
It is the case both that The city of Hue is in Vietnam. and that The city of Meerut is in India..,1,244,91
It is the case both that The city of Dortmund is in Germany. and that The city of Ludhiana is in India..,1,760,170
It is the case both that The city of Penza is in Colombia. and that The city of Tonghua is in China..,0,394,14
It is the case both that The city of Jinzhong is in Russia. and that The city of Prayagraj is in China..,0,246,509
It is the case both that The city of Sapporo is in Turkey. and that The city of Zagreb is in Croatia..,0,305,835
It is the case both that The city of Kaduna is in India. and that The city of Bangkok is in Thailand..,0,287,694
It is the case both that The city of Soshanguve is in South Africa. and that The city of Fukuoka is in Belarus..,0,224,402
It is the case both that The city of Chongming is in China. and that The city of Sao Bernardo do Campo is in Brazil..,1,14,149
It is the case both that The city of Shangrao is in India. and that The city of Kitwe is in Malaysia..,0,501,129
It is the case both that The city of Ciudad Guayana is in Venezuela. and that The city of Sargodha is in Bangladesh..,0,113,378
It is the case both that The city of Bhavnagar is in India. and that The city of Guarulhos is in Brazil..,1,682,630
It is the case both that The city of Mukim Pulai is in Malaysia. and that The city of Goiania is in Brazil..,1,504,761
It is the case both that The city of Ibague is in Colombia. and that The city of Camayenne is in Guinea..,1,540,385
It is the case both that The city of Subang Jaya is in Malaysia. and that The city of Joao Pessoa is in Brazil..,1,367,32
It is the case both that The city of Muscat is in Oman. and that The city of Tirunelveli is in India..,1,246,658
It is the case both that The city of Cagayan de Oro is in the United States. and that The city of Xinyang is in Chad..,0,352,17
It is the case both that The city of Puducherry is in India. and that The city of Siping is in the Democratic Republic of the Congo..,0,240,30
It is the case both that The city of Maiduguri is in China. and that The city of Bilimora is in India..,0,473,79
It is the case both that The city of Antalya is in Turkey. and that The city of Puxi is in Nigeria..,0,1002,661
It is the case both that The city of Baoji is in Japan. and that The city of Madurai is in India..,0,614,962
It is the case both that The city of Tokyo is in Japan. and that The city of Dhanbad is in India..,1,1129,433
It is the case both that The city of Riga is in Latvia. and that The city of Hamhung is in North Korea..,1,65,457
It is the case both that The city of Voronezh is in Russia. and that The city of Jeonju is in Egypt..,0,18,497
It is the case both that The city of Detroit is in the United States. and that The city of Mysuru is in India..,1,519,532
It is the case both that The city of Hermosillo is in Mexico. and that The city of Tanggu is in China..,1,303,412
It is the case both that The city of Malingao is in the Philippines. and that The city of San Miguel de Tucuman is in Argentina..,1,205,250
It is the case both that The city of Leipzig is in China. and that The city of Visakhapatnam is in India..,0,542,248
It is the case both that The city of Xinyu is in China. and that The city of Ibague is in Mexico..,0,38,683
It is the case both that The city of Voronezh is in Russia. and that The city of Zhabei is in China..,1,18,338
It is the case both that The city of Hlaingthaya is in China. and that The city of Anqing is in India..,0,398,568
It is the case both that The city of Sapporo is in Turkey. and that The city of Kota Kinabalu is in Malaysia..,0,305,44
It is the case both that The city of Xiangtan is in China. and that The city of Kemerovo is in Russia..,1,17,6
It is the case both that The city of Balikpapan is in Ukraine. and that The city of Wuzhou is in China..,0,146,79
It is the case both that The city of Wanzhou is in Guinea. and that The city of Nay Pyi Taw is in Kazakhstan..,0,381,380
It is the case both that The city of Maputo is in China. and that The city of Coyoacan is in Mexico..,0,1191,9
It is the case both that The city of Huzhou is in China. and that The city of Shenyang is in Malaysia..,0,1037,872
