statement,label,country,cities,stated_k,actual_k
"Exactly 2 of the following cities are in Samoa: Jiaozuo, Ribeirao Preto.",0,Samoa,"('Jiaozuo', 'Ribeirao Preto')",2,0
"Exactly 1 of the following cities are in Jamaica: Fukuoka, Nashik.",0,Jamaica,"('Fukuoka', 'Nashik')",1,0
"Exactly 2 of the following cities are in Vietnam: Cho Lon, Nha Trang.",1,Vietnam,"('Cho Lon', 'Nha Trang')",2,2
"Exactly 2 of the following cities are in Bosnia and Herzegovina: Sarajevo, Esenler.",0,Bosnia and Herzegovina,"('Esenler', 'Sarajevo')",2,1
"Exactly 1 of the following cities are in Honduras: Dongying, Tegucigalpa.",1,Honduras,"('Dongying', 'Tegucigalpa')",1,1
"Exactly 2 of the following cities are in Saudi Arabia: Sultanah, Ta'if.",1,Saudi Arabia,"('Sultanah', ""Ta'if"")",2,2
"Exactly 1 of the following cities are in Venezuela: Sangli, Pasir Gudang.",0,Venezuela,"('Pasir Gudang', 'Sangli')",1,0
"Exactly 0 of the following cities are in Iran: Karaj, Kermanshah.",0,Iran,"('Karaj', 'Kermanshah')",0,2
"Exactly 1 of the following cities are in Saudi Arabia: Ta'if, Santo Domingo Este.",1,Saudi Arabia,"('Santo Domingo Este', ""Ta'if"")",1,1
"Exactly 2 of the following cities are in Vietnam: Bien Hoa, Vinh.",1,Vietnam,"('Bien Hoa', 'Vinh')",2,2
"Exactly 1 of the following cities are in Finland: Helsinki, Qom.",1,Finland,"('Helsinki', 'Qom')",1,1
"Exactly 2 of the following cities are in Tanzania: Zanzibar, Arusha.",1,Tanzania,"('Arusha', 'Zanzibar')",2,2
"Exactly 0 of the following cities are in Uzbekistan: Almaty, Daejeon.",1,Uzbekistan,"('Almaty', 'Daejeon')",0,0
"Exactly 2 of the following cities are in Iran: Hamadan, Osaka.",0,Iran,"('Hamadan', 'Osaka')",2,1
"Exactly 2 of the following cities are in China: Hengyang, Lianyungang.",1,China,"('Hengyang', 'Lianyungang')",2,2
"Exactly 2 of the following cities are in South Korea: Bucheon-si, Changwon.",1,South Korea,"('Bucheon-si', 'Changwon')",2,2
"Exactly 2 of the following cities are in Brazil: Ananindeua, Uberlandia.",1,Brazil,"('Ananindeua', 'Uberlandia')",2,2
"Exactly 2 of the following cities are in Pakistan: Rahim Yar Khan, Gujrat.",1,Pakistan,"('Gujrat', 'Rahim Yar Khan')",2,2
"Exactly 1 of the following cities are in Poland: Wroclaw, Bucaramanga.",1,Poland,"('Bucaramanga', 'Wroclaw')",1,1
"Exactly 1 of the following cities are in South Africa: Soshanguve, Adachi.",1,South Africa,"('Adachi', 'Soshanguve')",1,1
"Exactly 1 of the following cities are in Pakistan: Rawalpindi, Peshawar.",0,Pakistan,"('Peshawar', 'Rawalpindi')",1,2
"Exactly 2 of the following cities are in Egypt: Port Said, Baoji.",0,Egypt,"('Baoji', 'Port Said')",2,1
"Exactly 2 of the following cities are in Chad: Songjiang, Zapopan.",0,Chad,"('Songjiang', 'Zapopan')",2,0
"Exactly 0 of the following cities are in the Philippines: Barnaul, Zibo.",1,the Philippines,"('Barnaul', 'Zibo')",0,0
"Exactly 2 of the following cities are in Thailand: Seattle, Bangkok.",0,Thailand,"('Bangkok', 'Seattle')",2,1
"Exactly 0 of the following cities are in Gabon: New Kingston, Maceio.",1,Gabon,"('Maceio', 'New Kingston')",0,0
"Exactly 0 of the following cities are in Bulgaria: Cucuta, Longyan.",1,Bulgaria,"('Cucuta', 'Longyan')",0,0
"Exactly 1 of the following cities are in South Korea: Heze, Huaihua.",0,South Korea,"('Heze', 'Huaihua')",1,0
"Exactly 1 of the following cities are in Somalia: Wenzhou, E'zhou.",0,Somalia,"(""E'zhou"", 'Wenzhou')",1,0
"Exactly 0 of the following cities are in Mongolia: Ulan Bator, Diyarbakir.",0,Mongolia,"('Diyarbakir', 'Ulan Bator')",0,1
"Exactly 2 of the following cities are in Russia: Khabarovsk, Makhachkala.",1,Russia,"('Khabarovsk', 'Makhachkala')",2,2
"Exactly 2 of the following cities are in China: Puente Alto, Nampula.",0,China,"('Nampula', 'Puente Alto')",2,0
"Exactly 0 of the following cities are in Panama: Pelentong, Tolyatti.",1,Panama,"('Pelentong', 'Tolyatti')",0,0
"Exactly 2 of the following cities are in the Philippines: Zamboanga, Muntinlupa.",1,the Philippines,"('Muntinlupa', 'Zamboanga')",2,2
"Exactly 2 of the following cities are in Germany: Leipzig, Munich.",1,Germany,"('Leipzig', 'Munich')",2,2
"Exactly 0 of the following cities are in Saudi Arabia: Gaziantep, Makkah.",0,Saudi Arabia,"('Gaziantep', 'Makkah')",0,1
"Exactly 0 of the following cities are in Croatia: Vladivostok, Oujda.",1,Croatia,"('Oujda', 'Vladivostok')",0,0
"Exactly 2 of the following cities are in Uzbekistan: Hermosillo, Ryazan'.",0,Uzbekistan,"('Hermosillo', ""Ryazan'"")",2,0
"Exactly 2 of the following cities are in Russia: Yekaterinburg, Tolyatti.",1,Russia,"('Tolyatti', 'Yekaterinburg')",2,2
"Exactly 0 of the following cities are in Peru: Chiclayo, Callao.",0,Peru,"('Callao', 'Chiclayo')",0,2
"Exactly 0 of the following cities are in Oman: Zhumadian, Muscat.",0,Oman,"('Muscat', 'Zhumadian')",0,1
"Exactly 1 of the following cities are in Nepal: Contagem, Lviv.",0,Nepal,"('Contagem', 'Lviv')",1,0
"Exactly 0 of the following cities are in the Bahamas: Seoul, Nanchong.",1,the Bahamas,"('Nanchong', 'Seoul')",0,0
"Exactly 2 of the following cities are in Yemen: Ibb, Aden.",1,Yemen,"('Aden', 'Ibb')",2,2
"Exactly 2 of the following cities are in Cambodia: Pasir Gudang, Situbondo.",0,Cambodia,"('Pasir Gudang', 'Situbondo')",2,0
"Exactly 2 of the following cities are in Iraq: Al Mawsil al Jadidah, Erbil.",1,Iraq,"('Al Mawsil al Jadidah', 'Erbil')",2,2
"Exactly 1 of the following cities are in Iran: Zibo, Tabriz.",1,Iran,"('Tabriz', 'Zibo')",1,1
"Exactly 0 of the following cities are in the Netherlands: Guigang, Uberlandia.",1,the Netherlands,"('Guigang', 'Uberlandia')",0,0
"Exactly 2 of the following cities are in Iraq: Karbala, Nasiriyah.",1,Iraq,"('Karbala', 'Nasiriyah')",2,2
"Exactly 1 of the following cities are in Slovenia: Nakuru, Ningbo.",0,Slovenia,"('Nakuru', 'Ningbo')",1,0
"Exactly 1 of the following cities are in Romania: Bucharest, Vientiane.",1,Romania,"('Bucharest', 'Vientiane')",1,1
"Exactly 2 of the following cities are in Iraq: Baghdad, Al Basrah al Qadimah.",1,Iraq,"('Al Basrah al Qadimah', 'Baghdad')",2,2
"Exactly 0 of the following cities are in Saint Kitts and Nevis: Selayang Baru Utara, Zhengzhou.",1,Saint Kitts and Nevis,"('Selayang Baru Utara', 'Zhengzhou')",0,0
"Exactly 0 of the following cities are in Bangladesh: Homyel', Kalininskiy.",1,Bangladesh,"(""Homyel'"", 'Kalininskiy')",0,0
"Exactly 2 of the following cities are in Singapore: Maceio, Maputo.",0,Singapore,"('Maceio', 'Maputo')",2,0
"Exactly 0 of the following cities are in Jamaica: Kunshan, Kaifeng.",1,Jamaica,"('Kaifeng', 'Kunshan')",0,0
"Exactly 0 of the following cities are in Morocco: Marrakesh, Agadir.",0,Morocco,"('Agadir', 'Marrakesh')",0,2
"Exactly 1 of the following cities are in Peru: Jajmau, Piura.",1,Peru,"('Jajmau', 'Piura')",1,1
"Exactly 2 of the following cities are in Turkey: Malatya, Kayseri.",1,Turkey,"('Kayseri', 'Malatya')",2,2
"Exactly 2 of the following cities are in Turkey: Malatya, Esenyurt.",1,Turkey,"('Esenyurt', 'Malatya')",2,2
"Exactly 0 of the following cities are in Lebanon: Hoji ya Henda, Teni.",1,Lebanon,"('Hoji ya Henda', 'Teni')",0,0
"Exactly 0 of the following cities are in Belarus: Kumamoto, Minsk.",0,Belarus,"('Kumamoto', 'Minsk')",0,1
"Exactly 2 of the following cities are in Germany: Koeln, Hannover.",1,Germany,"('Hannover', 'Koeln')",2,2
"Exactly 2 of the following cities are in Yemen: Pokhara, Sanaa.",0,Yemen,"('Pokhara', 'Sanaa')",2,1
"Exactly 2 of the following cities are in Iran: Isfahan, Qom.",1,Iran,"('Isfahan', 'Qom')",2,2
"Exactly 1 of the following cities are in the Gambia: Chennai, Guigang.",0,the Gambia,"('Chennai', 'Guigang')",1,0
"Exactly 1 of the following cities are in Germany: Koeln, Madinah.",1,Germany,"('Koeln', 'Madinah')",1,1
"Exactly 1 of the following cities are in Japan: Enugu, Kallakurichi.",0,Japan,"('Enugu', 'Kallakurichi')",1,0
"Exactly 1 of the following cities are in Nicaragua: Cebu City, Jambi City.",0,Nicaragua,"('Cebu City', 'Jambi City')",1,0
"Exactly 1 of the following cities are in Bahrain: Kozhikode, Bangkok.",0,Bahrain,"('Bangkok', 'Kozhikode')",1,0
"Exactly 2 of the following cities are in Russia: Omsk, Vladivostok.",1,Russia,"('Omsk', 'Vladivostok')",2,2
"Exactly 0 of the following cities are in Djibouti: Balbala, Abu Ghurayb.",0,Djibouti,"('Abu Ghurayb', 'Balbala')",0,1
"Exactly 2 of the following cities are in Kenya: Kakamega, Nairobi.",1,Kenya,"('Kakamega', 'Nairobi')",2,2
"Exactly 2 of the following cities are in Albania: Queens, Shangluo.",0,Albania,"('Queens', 'Shangluo')",2,0
"Exactly 1 of the following cities are in the Central African Republic: Nha Trang, Kigali.",0,the Central African Republic,"('Kigali', 'Nha Trang')",1,0
"Exactly 2 of the following cities are in Saudi Arabia: Zhengzhou, Madinah.",0,Saudi Arabia,"('Madinah', 'Zhengzhou')",2,1
"Exactly 2 of the following cities are in Russia: Krasnodar, Tolyatti.",1,Russia,"('Krasnodar', 'Tolyatti')",2,2
"Exactly 0 of the following cities are in Cameroon: Weihai, Huzhou.",1,Cameroon,"('Huzhou', 'Weihai')",0,0
"Exactly 0 of the following cities are in Rwanda: Kigali, Tiruppur.",0,Rwanda,"('Kigali', 'Tiruppur')",0,1
"Exactly 0 of the following cities are in Zambia: Lusaka, Ndola.",0,Zambia,"('Lusaka', 'Ndola')",0,2
"Exactly 0 of the following cities are in Burkina Faso: Petaling Jaya, Ouagadougou.",0,Burkina Faso,"('Ouagadougou', 'Petaling Jaya')",0,1
"Exactly 2 of the following cities are in Iraq: Shymkent, Dodoma.",0,Iraq,"('Dodoma', 'Shymkent')",2,0
"Exactly 0 of the following cities are in Saudi Arabia: Madinah, Jeddah.",0,Saudi Arabia,"('Jeddah', 'Madinah')",0,2
"Exactly 0 of the following cities are in Guinea: Conakry, Jamshedpur.",0,Guinea,"('Conakry', 'Jamshedpur')",0,1
"Exactly 0 of the following cities are in Mongolia: Ulan Bator, Gurugram.",0,Mongolia,"('Gurugram', 'Ulan Bator')",0,1
"Exactly 1 of the following cities are in Togo: Khartoum, Al Basrah al Qadimah.",0,Togo,"('Al Basrah al Qadimah', 'Khartoum')",1,0
"Exactly 1 of the following cities are in Angola: Nakuru, Batam.",0,Angola,"('Batam', 'Nakuru')",1,0
"Exactly 1 of the following cities are in Syria: Ar Raqqah, Carrefour.",1,Syria,"('Ar Raqqah', 'Carrefour')",1,1
"Exactly 0 of the following cities are in the United Arab Emirates: Abu Dhabi, Al Ain City.",0,the United Arab Emirates,"('Abu Dhabi', 'Al Ain City')",0,2
"Exactly 1 of the following cities are in Sudan: Huludao, Khartoum.",1,Sudan,"('Huludao', 'Khartoum')",1,1
"Exactly 2 of the following cities are in Turkey: Santiago de los Caballeros, Esenler.",0,Turkey,"('Esenler', 'Santiago de los Caballeros')",2,1
"Exactly 0 of the following cities are in Slovakia: Zhangjiagang, Jambi City.",1,Slovakia,"('Jambi City', 'Zhangjiagang')",0,0
"Exactly 0 of the following cities are in Côte d'Ivoire: Abidjan, Bouake.",0,Côte d'Ivoire,"('Abidjan', 'Bouake')",0,2
"Exactly 0 of the following cities are in Chile: Puente Alto, Harare.",0,Chile,"('Harare', 'Puente Alto')",0,1
"Exactly 2 of the following cities are in Finland: Khabarovsk, UEskuedar.",0,Finland,"('Khabarovsk', 'UEskuedar')",2,0
"Exactly 0 of the following cities are in Botswana: Mar del Plata, Yongzhou.",1,Botswana,"('Mar del Plata', 'Yongzhou')",0,0
"Exactly 0 of the following cities are in Suriname: Feira de Santana, Kampung Baru Subang.",1,Suriname,"('Feira de Santana', 'Kampung Baru Subang')",0,0
"Exactly 0 of the following cities are in Saint Vincent and the Grenadines: Okayama, Changde.",1,Saint Vincent and the Grenadines,"('Changde', 'Okayama')",0,0
"Exactly 0 of the following cities are in Sweden: Abuja, Stockholm.",0,Sweden,"('Abuja', 'Stockholm')",0,1
"Exactly 1 of the following cities are in Ukraine: Bogor, Okayama.",0,Ukraine,"('Bogor', 'Okayama')",1,0
"Exactly 1 of the following cities are in Moldova: Batam, Chisinau.",1,Moldova,"('Batam', 'Chisinau')",1,1
"Exactly 0 of the following cities are in France: Marseille, Tijuana.",0,France,"('Marseille', 'Tijuana')",0,1
"Exactly 2 of the following cities are in Afghanistan: Hubballi, Kalininskiy.",0,Afghanistan,"('Hubballi', 'Kalininskiy')",2,0
"Exactly 2 of the following cities are in Haiti: Hongkou, Latakia.",0,Haiti,"('Hongkou', 'Latakia')",2,0
"Exactly 0 of the following cities are in Mexico: Cancun, Gustavo Adolfo Madero.",0,Mexico,"('Cancun', 'Gustavo Adolfo Madero')",0,2
"Exactly 2 of the following cities are in the Philippines: Makati City, Zamboanga.",1,the Philippines,"('Makati City', 'Zamboanga')",2,2
"Exactly 0 of the following cities are in Morocco: Xianning, Liupanshui.",1,Morocco,"('Liupanshui', 'Xianning')",0,0
"Exactly 1 of the following cities are in the Philippines: Teresina, Jos.",0,the Philippines,"('Jos', 'Teresina')",1,0
"Exactly 1 of the following cities are in Guyana: Bursa, Madurai.",0,Guyana,"('Bursa', 'Madurai')",1,0
"Exactly 0 of the following cities are in Jordan: Zarqa, Amman.",0,Jordan,"('Amman', 'Zarqa')",0,2
"Exactly 1 of the following cities are in Spain: Wanxian, Zaria.",0,Spain,"('Wanxian', 'Zaria')",1,0
"Exactly 0 of the following cities are in Kazakhstan: Shymkent, Almaty.",0,Kazakhstan,"('Almaty', 'Shymkent')",0,2
"Exactly 2 of the following cities are in the Philippines: Davao, General Santos.",1,the Philippines,"('Davao', 'General Santos')",2,2
"Exactly 2 of the following cities are in Angola: Cabinda, Camama.",1,Angola,"('Cabinda', 'Camama')",2,2
"Exactly 2 of the following cities are in Romania: Nansana, Bucharest.",0,Romania,"('Bucharest', 'Nansana')",2,1
"Exactly 0 of the following cities are in Burundi: Bujumbura, Pasig City.",0,Burundi,"('Bujumbura', 'Pasig City')",0,1
"Exactly 2 of the following cities are in Belarus: Yingkou, Daqing.",0,Belarus,"('Daqing', 'Yingkou')",2,0
"Exactly 2 of the following cities are in Iraq: Karbala, Abu Ghurayb.",1,Iraq,"('Abu Ghurayb', 'Karbala')",2,2
"Exactly 2 of the following cities are in Nigeria: Sokoto, Luancheng.",0,Nigeria,"('Luancheng', 'Sokoto')",2,1
"Exactly 1 of the following cities are in Nicaragua: Bilimora, Seattle.",0,Nicaragua,"('Bilimora', 'Seattle')",1,0
"Exactly 1 of the following cities are in Venezuela: Piura, Rajkot.",0,Venezuela,"('Piura', 'Rajkot')",1,0
"Exactly 1 of the following cities are in Saudi Arabia: Dammam, Ta'if.",0,Saudi Arabia,"('Dammam', ""Ta'if"")",1,2
"Exactly 2 of the following cities are in Uzbekistan: Johor Bahru, Samarkand.",0,Uzbekistan,"('Johor Bahru', 'Samarkand')",2,1
"Exactly 0 of the following cities are in Ghana: Accra, Nansana.",0,Ghana,"('Accra', 'Nansana')",0,1
"Exactly 0 of the following cities are in Iran: Ahvaz, Qom.",0,Iran,"('Ahvaz', 'Qom')",0,2
"Exactly 1 of the following cities are in Guinea: Bishkek, Kuantan.",0,Guinea,"('Bishkek', 'Kuantan')",1,0
"Exactly 0 of the following cities are in Romania: Daqing, Bucharest.",0,Romania,"('Bucharest', 'Daqing')",0,1
"Exactly 0 of the following cities are in Iraq: Nasiriyah, Mudanjiang.",0,Iraq,"('Mudanjiang', 'Nasiriyah')",0,1
"Exactly 1 of the following cities are in Portugal: Nakuru, Guiyang.",0,Portugal,"('Guiyang', 'Nakuru')",1,0
"Exactly 2 of the following cities are in Niger: Tiruchirappalli, Binzhou.",0,Niger,"('Binzhou', 'Tiruchirappalli')",2,0
"Exactly 0 of the following cities are in Slovakia: Karaj, Ghaziabad.",1,Slovakia,"('Ghaziabad', 'Karaj')",0,0
"Exactly 0 of the following cities are in Qatar: Heze, Hamadan.",1,Qatar,"('Hamadan', 'Heze')",0,0
"Exactly 0 of the following cities are in Nicaragua: Managua, Quezon City.",0,Nicaragua,"('Managua', 'Quezon City')",0,1
"Exactly 1 of the following cities are in Togo: Huangshi, Lome.",1,Togo,"('Huangshi', 'Lome')",1,1
"Exactly 1 of the following cities are in Singapore: Kayseri, Minsk.",0,Singapore,"('Kayseri', 'Minsk')",1,0
"Exactly 0 of the following cities are in Haiti: Carrefour, Port-au-Prince.",0,Haiti,"('Carrefour', 'Port-au-Prince')",0,2
"Exactly 2 of the following cities are in Turkey: Bagcilar, Eskisehir.",1,Turkey,"('Bagcilar', 'Eskisehir')",2,2
"Exactly 0 of the following cities are in Bangladesh: Nakuru, Qingdao.",1,Bangladesh,"('Nakuru', 'Qingdao')",0,0
"Exactly 2 of the following cities are in Mexico: Tlaquepaque, Naucalpan de Juarez.",1,Mexico,"('Naucalpan de Juarez', 'Tlaquepaque')",2,2
"Exactly 2 of the following cities are in the Democratic Republic of the Congo: Lubumbashi, Mbuji-Mayi.",1,the Democratic Republic of the Congo,"('Lubumbashi', 'Mbuji-Mayi')",2,2
"Exactly 2 of the following cities are in Latvia: Las Pinas, Can Tho.",0,Latvia,"('Can Tho', 'Las Pinas')",2,0
"Exactly 2 of the following cities are in Kuwait: Tashkent, Al Ahmadi.",0,Kuwait,"('Al Ahmadi', 'Tashkent')",2,1
"Exactly 0 of the following cities are in Canada: Qinhuangdao, Quebec.",0,Canada,"('Qinhuangdao', 'Quebec')",0,1
"Exactly 1 of the following cities are in Indonesia: Palembang, Andijon.",1,Indonesia,"('Andijon', 'Palembang')",1,1
"Exactly 1 of the following cities are in South Africa: Krasnodar, Ciudad Nezahualcoyotl.",0,South Africa,"('Ciudad Nezahualcoyotl', 'Krasnodar')",1,0
"Exactly 2 of the following cities are in China: Yangquan, Qingdao.",1,China,"('Qingdao', 'Yangquan')",2,2
"Exactly 0 of the following cities are in Chile: Puente Alto, Bhavnagar.",0,Chile,"('Bhavnagar', 'Puente Alto')",0,1
"Exactly 0 of the following cities are in Palau: Qinzhou, Tirunelveli.",1,Palau,"('Qinzhou', 'Tirunelveli')",0,0
"Exactly 0 of the following cities are in Romania: Yongzhou, Khartoum North.",1,Romania,"('Khartoum North', 'Yongzhou')",0,0
"Exactly 1 of the following cities are in Myanmar: Isfahan, Kuecuekcekmece.",0,Myanmar,"('Isfahan', 'Kuecuekcekmece')",1,0
"Exactly 1 of the following cities are in Lithuania: Amman, Vilnius.",1,Lithuania,"('Amman', 'Vilnius')",1,1
"Exactly 2 of the following cities are in Mozambique: Beira, Nampula.",1,Mozambique,"('Beira', 'Nampula')",2,2
"Exactly 2 of the following cities are in South Korea: Jeonju, Incheon.",1,South Korea,"('Incheon', 'Jeonju')",2,2
"Exactly 0 of the following cities are in Mauritania: Weinan, Nouakchott.",0,Mauritania,"('Nouakchott', 'Weinan')",0,1
"Exactly 1 of the following cities are in Brazil: Teresina, Agadir.",1,Brazil,"('Agadir', 'Teresina')",1,1
"Exactly 2 of the following cities are in Brazil: Curitiba, Aracaju.",1,Brazil,"('Aracaju', 'Curitiba')",2,2
"Exactly 2 of the following cities are in Vietnam: Nha Trang, Haiphong.",1,Vietnam,"('Haiphong', 'Nha Trang')",2,2
"Exactly 0 of the following cities are in Mongolia: Shangqiu, Rajkot.",1,Mongolia,"('Rajkot', 'Shangqiu')",0,0
"Exactly 0 of the following cities are in Côte d'Ivoire: Abobo, Bouake.",0,Côte d'Ivoire,"('Abobo', 'Bouake')",0,2
"Exactly 2 of the following cities are in Vietnam: Nha Trang, Hue.",1,Vietnam,"('Hue', 'Nha Trang')",2,2
"Exactly 1 of the following cities are in Montenegro: Kobe, Irbid.",0,Montenegro,"('Irbid', 'Kobe')",1,0
"Exactly 0 of the following cities are in Greece: Sultanah, Iztapalapa.",1,Greece,"('Iztapalapa', 'Sultanah')",0,0
