train_task,test_task,train_condition,test_condition,layer,model,auroc
A1,A3,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.5172886178861789
A1,A3,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.5139512195121951
A1,A3,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.5101910569105691
A1,A3,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.5087886178861788
A1,A3,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.5087967479674798
A1,A3,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.5086138211382114
A1,A3,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.509260162601626
A1,A3,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.5098008130081302
A1,A3,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.5099634146341463
A1,A3,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.5098658536585365
A1,A3,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.5101747967479674
A1,A3,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.5095447154471544
A1,A3,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.5102682926829268
A1,A3,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.5098373983739838
A1,A3,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.5094349593495935
A1,A3,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.5089065040650407
A1,A3,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.5056178861788618
A1,A3,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.5067073170731707
A1,A3,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.5052560975609757
A1,A3,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.5077439024390243
A1,A3,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.5126747967479675
A1,A3,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.5159552845528456
A1,A3,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.5191666666666667
A1,A3,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.51869918699187
A1,A3,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.5213617886178862
A1,A3,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.5213292682926829
A1,A3,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.503040650406504
A1,F0,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,F0,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.4896612547152426
A1,F0,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.4885987972605521
A1,F0,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.4816298285400519
A1,F0,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.4809801311053694
A1,F0,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.4811653559890633
A1,F0,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.4845163279966001
A1,F0,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.4873106851252194
A1,F0,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.487765755397848
A1,F0,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.489294565859199
A1,F0,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.4933431869210547
A1,F0,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.4991312294795275
A1,F0,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.5047387482934865
A1,F0,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.5049700443411447
A1,F0,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.506724509483138
A1,F0,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.5019707175442752
A1,F0,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.5000206850123922
A1,F0,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.5105437149530074
A1,F0,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.5118901212141727
A1,F0,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.5166721199881155
A1,F0,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.5224169120661318
A1,F0,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.5289853437284924
A1,F0,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.5291508238276299
A1,F0,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.537014889448011
A1,F0,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.5397340283497497
A1,F0,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.5524665937049865
A1,F0,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.5626624243586706
A1,F0,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.5803781972447563
A1,F0,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.5981033724092022
A1,F0,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.5931652958144817
A1,F0,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.5884378302550274
A1,F0,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.5337917884261714
A1,F0,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.5164577480415053
A1,F1,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,F1,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.4225035161744023
A1,F1,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.4004930545678661
A1,F1,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.4052134199339434
A1,F1,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.4001264242481708
A1,F1,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.3983185574993284
A1,F1,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.394555855813145
A1,F1,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.3903759541079979
A1,F1,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.3869071887988116
A1,F1,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.3854469887324389
A1,F1,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.390295358649789
A1,F1,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.3931430648398363
A1,F1,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.4030207493797311
A1,F1,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.4119913399390003
A1,F1,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.4240948813982522
A1,F1,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.4356152910128162
A1,F1,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.4469587066799412
A1,F1,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.4584253859890326
A1,F1,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.4642029741304382
A1,F1,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.4795587793738839
A1,F1,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.4884859115978445
A1,F1,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.4946427724837623
A1,F1,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.5141721582199466
A1,F1,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.5217734161412159
A1,F1,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.5242134041309123
A1,F1,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.530602569572844
A1,F1,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.5495346007364212
A1,F1,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.5463961187755811
A1,F1,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.5877479100491474
A1,F1,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.6016545773479354
A1,F1,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.5833357037879865
A1,F1,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.5553785616081165
A1,F1,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.5783182414387079
A1,F2,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,F2,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.6021122098037741
A1,F2,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.5347009730766615
A1,F2,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.4118791223342388
A1,F2,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.417428057103388
A1,F2,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.4227264756301378
A1,F2,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.4954844447307487
A1,F2,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.5566506694151877
A1,F2,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.5583649162738931
A1,F2,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.5611939604112761
A1,F2,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.5609076561342481
A1,F2,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.5924064948125244
A1,F2,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.5291654588204979
A1,F2,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.5208053739312799
A1,F2,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.5251196215057458
A1,F2,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.5104590531201798
A1,F2,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.4833728791115977
A1,F2,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.4851050199876173
A1,F2,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.4868980005225053
A1,F2,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.4887965557595473
A1,F2,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.4916059164778847
A1,F2,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.4918975889601071
A1,F2,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.4563690175826614
A1,F2,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.4635964111758874
A1,F2,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.4751040537106823
A1,F2,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.4594503673641754
A1,F2,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.4558017772337996
A1,F2,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.4544149908919452
A1,F2,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.4490360492872813
A1,F2,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.4565390107471467
A1,F2,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.4416547671451526
A1,F2,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.4436338454601088
A1,F2,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.4642262805853491
A1,F3,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,F3,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.4853767158035106
A1,F3,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.4878389934919048
A1,F3,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.5155817425461292
A1,F3,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.5156288501398734
A1,F3,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.5157303126494761
A1,F3,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.5119979417605195
A1,F3,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.5113656129060312
A1,F3,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.5135533982693394
A1,F3,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.5129527764491022
A1,F3,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.5179932889797221
A1,F3,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.5144257946688698
A1,F3,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.5109334913249555
A1,F3,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.5143261439897957
A1,F3,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.5107785798147585
A1,F3,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.506926628110913
A1,F3,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.5031924453914278
A1,F3,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.5028934933542055
A1,F3,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.5036435911930541
A1,F3,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.5041690220463538
A1,F3,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.5057797393862968
A1,F3,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.5082012508877969
A1,F3,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.506131234508849
A1,F3,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.5076042527286168
A1,F3,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.5047451841544549
A1,F3,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.5032594831209869
A1,F3,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.5069954776710005
A1,F3,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.5059101911843573
A1,F3,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.5049046252409735
A1,F3,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.4989509501239292
A1,F3,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.4978692872983432
A1,F3,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.5012737168616197
A1,F3,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.5003370004783232
A1,F4,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,F4,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.4934332353631108
A1,F4,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.478612134508976
A1,F4,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.5264050447765314
A1,F4,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.5267099943425646
A1,F4,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.5265223330711595
A1,F4,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.5323412123470077
A1,F4,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.5260324819583005
A1,F4,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.5285272729781568
A1,F4,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.5245781071049109
A1,F4,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.5120241199928247
A1,F4,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.5057326378827393
A1,F4,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.4835465220570987
A1,F4,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.4847380331442922
A1,F4,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.480543251783472
A1,F4,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.4829276538201487
A1,F4,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.4868209352706599
A1,F4,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.4899097570062507
A1,F4,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.4888838293938265
A1,F4,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.4951539236384208
A1,F4,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.4968539139793848
A1,F4,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.4995073891625616
A1,F4,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.4994025196285411
A1,F4,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.4989375060368975
A1,F4,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.5008223979246871
A1,F4,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.5017800223537691
A1,F4,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.5037007906610921
A1,F4,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.5013426060079205
A1,F4,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.4996439955292462
A1,F4,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.4892287949662623
A1,F4,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.4938651322598005
A1,F4,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.4938044183190517
A1,F4,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.4699231416704613
A1,F5,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,F5,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.5139846336056364
A1,F5,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.4899233957909442
A1,F5,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.4648524097300252
A1,F5,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.4591659327644325
A1,F5,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.4551193476874487
A1,F5,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.4619433731158958
A1,F5,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.4604458329537287
A1,F5,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.4627177665077389
A1,F5,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.4658684847196493
A1,F5,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.4807211475194105
A1,F5,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.4803200319880145
A1,F5,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.4818055513377267
A1,F5,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.4806022047435391
A1,F5,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.4785586666261754
A1,F5,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.4744513448125765
A1,F5,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.4767416259224392
A1,F5,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.4756268537358154
A1,F5,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.4760304999645702
A1,F5,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.4738009555913227
A1,F5,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.4705350906495794
A1,F5,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.4690293257209956
A1,F5,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.4675248261410914
A1,F5,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.467374249648233
A1,F5,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.4615587071173332
A1,F5,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.4540159636389402
A1,F5,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.4618750442872038
A1,F5,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.4607805176794518
A1,F5,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.4608437851134259
A1,F5,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.4578550315324891
A1,F5,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.4582599431099233
A1,F5,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.4748056424428315
A1,F5,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.4774818548999362
A2,A1,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A2,A1,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.5693315351877759
A2,A1,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.5801960314759499
A2,A1,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.5746083361691937
A2,A1,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.5625296715023338
A2,A1,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.5535851577368573
A2,A1,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.5439768425740369
A2,A1,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.5345953962432202
A2,A1,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.5302974922591515
A2,A1,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.5272431655764359
A2,A1,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.5244745255710582
A2,A1,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.5218613327283498
A2,A1,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.5203530751229923
A2,A1,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.5234116030803745
A2,A1,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.521352978493675
A2,A1,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.5203908865949929
A2,A1,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.5199959667763199
A2,A1,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.5222604538216895
A2,A1,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.5228108208030317
A2,A1,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.5221722270536882
A2,A1,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.5217142881150141
